,Experiment,Experiment,Control,Control
201800_s_at,533.82416,533.5638,447.97455,368.19843
201812_s_at,8246.937,8165.9185,6917.28,7363.321
201819_at,102.57164,112.799355,71.77977,75.25089
201825_s_at,436.5241,397.3493,340.76648,314.41785
201870_at,406.73004,368.27097,289.2525,257.32916
201874_at,456.90958,507.49316,334.61942,325.13055
201881_s_at,542.6232,481.11795,455.08112,404.3586
201897_s_at,4363.986,4555.0938,3954.5425,3307.6182
201905_s_at,96.88374,86.29498,90.19456,94.75528
201910_at,443.9773,432.01486,503.15305,435.95917
201919_at,1083.5641,1016.3641,715.5166,647.2386
201929_s_at,512.5259,518.697,460.23615,400.43887
201931_at,2343.6772,2200.7896,1747.9291,1598.933
201932_at,494.68784,468.79184,329.64664,289.18692
201933_at,409.68774,435.6852,550.8332,484.21988
201937_s_at,373.17334,352.0107,207.09666,211.63449
201965_s_at,220.02246,225.30922,169.77933,162.21367
201987_at,1378.2722,1409.462,1105.2946,1026.1298
201992_s_at,194.66386,205.54901,205.98161,188.44398
201995_at,437.2666,437.277,459.1996,386.401
202024_at,324.12692,357.56396,261.27557,265.44934
202029_x_at,8096.9395,8592.612,7963.1714,6828.0186
202044_at,74.912285,79.28964,52.989124,53.114254
202048_s_at,181.9545,184.94145,219.50632,189.0232
202055_at,278.1015,256.63113,319.42557,314.68524
202065_s_at,202.33493,204.54619,198.96306,168.21573
202077_at,7872.8374,8038.893,6694.3657,5903.5366
202109_at,229.61794,249.35075,220.22836,229.28659
202116_at,653.3487,608.62897,455.8796,402.064
202120_x_at,793.31085,727.88965,620.7031,549.0275
202154_x_at,5526.56,5231.017,5280.6436,5247.26
202155_s_at,185.6855,183.53122,175.3821,165.54657
202187_s_at,554.52234,537.4232,345.58954,293.32764
202212_at,519.96515,469.89078,460.37033,428.78683
202216_x_at,234.85765,207.23907,212.8518,206.93039
202219_at,372.05362,415.14886,202.58788,220.50397
202233_s_at,7913.1743,8319.866,6987.0684,6552.2837
202243_s_at,4613.693,4354.085,4008.0642,3724.7046
202252_at,3196.0063,3247.3103,2739.9128,2444.8857
202261_at,588.3104,669.4419,459.7758,448.56836
202281_at,162.67305,145.29967,101.85974,92.983406
202302_s_at,2704.4138,2551.0854,2111.96,1806.5007
202308_at,158.80997,164.44466,75.79018,88.61568
202313_at,2277.208,2528.222,1873.1221,1860.3011
202332_at,1033.8486,1106.6215,697.6062,716.9858
202349_at,380.64438,389.38974,301.46237,276.7856
202363_at,249.9214,238.86539,170.41669,140.0354
202364_at,451.77777,451.75836,222.81111,204.2871
202397_at,4710.953,4694.6665,4390.6006,4827.063
202398_at,68.37251,72.29226,63.73059,58.824394
202425_x_at,1216.3281,1273.1831,853.5063,713.10046
202433_at,1116.1265,953.2132,897.38824,876.22003
202455_at,191.3512,211.5754,125.23015,141.76302
202475_at,2187.2654,2205.7998,1568.0498,1430.5045
202495_at,796.6494,799.9571,693.20056,613.78925
202513_s_at,317.95132,351.33865,285.40506,315.99744
202523_s_at,83.53745,80.01261,57.87366,58.22537
202546_at,733.4291,750.7823,388.3638,467.6924
202566_s_at,108.84094,104.30429,119.97195,114.205124
202568_s_at,428.8078,393.62915,306.59695,275.19928
202582_s_at,1486.7819,1695.3959,1524.998,1431.3654
202583_s_at,348.32523,329.52945,348.4277,319.12817
202621_at,222.22664,192.33972,211.6396,223.4887
202624_s_at,94.495415,99.992355,85.61978,93.31535
202626_s_at,510.38846,442.8292,359.1853,386.43088
202649_x_at,12021.358,11462.7295,10499.771,10346.915
202658_at,165.32516,172.51366,155.27438,136.27443
202671_s_at,503.65155,536.6773,315.82996,283.47217
202685_s_at,74.78401,86.05141,83.777565,84.6782
202689_at,404.8692,459.95938,332.17664,310.7227
202692_s_at,148.20659,173.94618,164.67865,156.92288
